Wavelength_nm,Parans 54m,Parans 25m,Fluorescent lamp FL5,Cool white LED,Warm white LED,Daylight through glass,Unfiltered daylight
583,0.934425506,0.92904439,0.41790960000000005,0.8900920000000001,0.830238,0.8495770431,0.9807804
584,0.930764626,0.92526636,0.39774280000000006,0.8977090000000001,0.831991,0.8421429988,0.9849712
585,0.9191581870000001,0.9142324709999999,0.377576,0.9053260000000001,0.833744,0.8347089544999999,0.9891620000000001
586,0.9117860179999999,0.9063988629999999,0.373896,0.9125202,0.8346206,0.8272749102,0.9747112000000001
587,0.8984152990000001,0.8928443979999999,0.370216,0.9197144,0.8354972,0.8198408658999999,0.9602604
588,0.859002552,0.853823628,0.36653600000000003,0.9269086,0.8363738000000001,0.8124068216,0.9458096
589,0.8475158309999999,0.842183668,0.362856,0.9341028,0.8372504000000001,0.8049727772999999,0.9313587999999999
590,0.845140355,0.839719735,0.359176,0.9412969999999999,0.8381270000000001,0.797538733,0.916908
591,0.852707854,0.8470492279999999,0.3546618,0.9474545999999999,0.8381270000000001,0.797170548,0.9229771999999999
592,0.8689707320000001,0.862807071,0.3501476,0.9536122,0.8381270000000001,0.796802363,0.9290463999999999
